"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"312","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0098.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0098.JPG","1","RYBB_F","1","","1",6,2021-11-09
"313","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0104.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0104.JPG","1","RYBB_F","1","","1",6,2021-11-09
"314","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0118.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0118.JPG","1","RYLY","0","","1",5,2021-11-09
"315","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0123.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0123.JPG","1","RWLY","0","","1",5,2021-11-09
"316","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0132.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0132.JPG","1","RRWW","0","","1",6,2021-11-09
"317","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0139.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0139.JPG","1","RRWG","0","","1",4,2021-11-09
"318","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0164.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0164.JPG","1","RRRG","0","","1",6,2021-11-09
"319","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0168.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0168.JPG","1","RRRG","0","","1",6,2021-11-09
"320","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0187.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0187.JPG","1","RRRG","0","","1",6,2021-11-09
"321","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0190.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0190.JPG","1","RRRG","0","","1",6,2021-11-09
